Reference Company,Security Description,Trade Date,Ask,Bid,Close
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/18/20,9.425,9.075,9.25
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/21/20,10.35,9.95,10.15
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/22/20,10.225,9.825,10.025
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/23/20,9.875,9.475,9.675
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/24/20,9.65,9.25,9.45
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/25/20,9.7,9.3,9.5
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/28/20,9.932,9.533,9.733
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/29/20,10.15,9.75,9.95
AUD1MO=R,Australian Dollar/US Dollar 1 Month ATM Option,12/30/20,10.475,10.075,10.275
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,11/30/20,9.65,9.25,9.45
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/1/20,9.4,9,9.2
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/2/20,9.525,9.175,9.35
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/3/20,9.637,9.288,9.462
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/4/20,9.563,9.163,9.363
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/7/20,9.775,9.425,9.6
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/8/20,9.6,9.2,9.4
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/9/20,9.55,9.2,9.375
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/10/20,9.623,9.323,9.473
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/11/20,10.025,9.675,9.85
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/14/20,9.925,9.525,9.725
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/15/20,9.825,9.525,9.675
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/16/20,9.655,9.255,9.455
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/17/20,9.663,9.262,9.462
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/18/20,9.725,9.325,9.525
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/21/20,10.25,9.85,10.05
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/22/20,10.12,9.72,9.92
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/23/20,9.975,9.525,9.75
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/24/20,9.775,9.325,9.55
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/25/20,9.8,9.4,9.6
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/28/20,9.858,9.458,9.658
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/29/20,10.05,9.65,9.85
AUD2MO=R,Australian Dollar/US Dollar 2 Month ATM Option,12/30/20,10.225,9.825,10.025
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,11/30/20,9.663,9.262,9.462
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/1/20,9.475,9.075,9.275
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/2/20,9.575,9.175,9.375
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/3/20,9.6,9.25,9.425
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/4/20,9.637,9.238,9.438
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/7/20,9.725,9.375,9.55
AUD3MO=R,Australian Dollar/US Dollar 3 Month ATM Option,12/8/20,9.613,9.212,9.413
